"Per capita real GDP by Metropolitan Area (chained 2005 dollars)"
"" 
"Bureau of Economic Analysis" 
"All industry total"
"22220","Fayetteville-Springdale-Rogers, AR-MO (MSA)",36305
"22380","Flagstaff, AZ (MSA)",31210
"22420","Flint, MI (MSA)",24101
"22500","Florence, SC (MSA)",29519
"22520","Florence-Muscle Shoals, AL (MSA)",24021
"22540","Fond du Lac, WI (MSA)",31960
"22660","Fort Collins-Loveland, CO (MSA)",35501
"22900","Fort Smith, AR-OK (MSA)",28276
"23060","Fort Wayne, IN (MSA)",39139
"23420","Fresno, CA (MSA)",28232
"23460","Gadsden, AL (MSA)",21845
"23540","Gainesville, FL (MSA)",33831
"23580","Gainesville, GA (MSA)",31591
"24020","Glens Falls, NY (MSA)",27347
"24140","Goldsboro, NC (MSA)",28740
"24220","Grand Forks, ND-MN (MSA)",36215
"24300","Grand Junction, CO (MSA)",29887
"24340","Grand Rapids-Wyoming, MI (MSA)",38016
"24500","Great Falls, MT (MSA)",32314
"24540","Greeley, CO (MSA)",25111
"24580","Green Bay, WI (MSA)",42508
"24660","Greensboro-High Point, NC (MSA)",42034
"24780","Greenville, NC (MSA)",29692
"24860","Greenville-Mauldin-Easley, SC (MSA)",36558
"25060","Gulfport-Biloxi, MS (MSA)",35759
"25180","Hagerstown-Martinsburg, MD-WV (MSA)",26447
"25260","Hanford-Corcoran, CA (MSA)",23425
"25420","Harrisburg-Carlisle, PA (MSA)",44824
"25500","Harrisonburg, VA (MSA)",43560
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",60382
"25620","Hattiesburg, MS (MSA)",29778
"25860","Hickory-Lenoir-Morganton, NC (MSA)",28571
"25980","Hinesville-Fort Stewart, GA (MSA)",40225
"26100","Holland-Grand Haven, MI (MSA)",29501
"26180","Honolulu, HI (MSA)",46682
"26300","Hot Springs, AR (MSA)",24435
"26380","Houma-Bayou Cane-Thibodaux, LA (MSA)",47271
"26420","Houston-Sugar Land-Baytown, TX (MSA)",60060
"26580","Huntington-Ashland, WV-KY-OH (MSA)",30819
"26620","Huntsville, AL (MSA)",45140
"26820","Idaho Falls, ID (MSA)",27078
"26900","Indianapolis-Carmel, IN (MSA)",50508
"26980","Iowa City, IA (MSA)",44104
"27060","Ithaca, NY (MSA)",32282
"27100","Jackson, MI (MSA)",26446
"27140","Jackson, MS (MSA)",39609
"27180","Jackson, TN (MSA)",36291
"27260","Jacksonville, FL (MSA)",38939
"27340","Jacksonville, NC (MSA)",40773
"27500","Janesville, WI (MSA)",27152
"27620","Jefferson City, MO (MSA)",33460
"27740","Johnson City, TN (MSA)",28570
"27780","Johnstown, PA (MSA)",24149
"27860","Jonesboro, AR (MSA)",30503
"27900","Joplin, MO (MSA)",29139
"28020","Kalamazoo-Portage, MI (MSA)",32531
"28100","Kankakee-Bradley, IL (MSA)",24266
"28140","Kansas City, MO-KS (MSA)",46510
"28420","Kennewick-Pasco-Richland, WA (MSA)",35495
"28660","Killeen-Temple-Fort Hood, TX (MSA)",33342
"28700","Kingsport-Bristol-Bristol, TN-VA (MSA)",28289
"28740","Kingston, NY (MSA)",22449
"28940","Knoxville, TN (MSA)",41155
"29020","Kokomo, IN (MSA)",34205
"29100","La Crosse, WI-MN (MSA)",37384
"29140","Lafayette, IN (MSA)",35570
"29180","Lafayette, LA (MSA)",65805
"29340","Lake Charles, LA (MSA)",60769
"29420","Lake Havasu City-Kingman, AZ (MSA)",15716
"29460","Lakeland-Winter Haven, FL (MSA)",23619
"29540","Lancaster, PA (MSA)",33229
"29620","Lansing-East Lansing, MI (MSA)",36171
"29700","Laredo, TX (MSA)",22198
"29740","Las Cruces, NM (MSA)",23492
"29820","Las Vegas-Paradise, NV (MSA)",41118
"29940","Lawrence, KS (MSA)",27471
"30020","Lawton, OK (MSA)",33019
"30140","Lebanon, PA (MSA)",25482
"30300","Lewiston, ID-WA (MSA)",28187
"30340","Lewiston-Auburn, ME (MSA)",30776
"30460","Lexington-Fayette, KY (MSA)",42165
"30620","Lima, OH (MSA)",37627
"30700","Lincoln, NE (MSA)",41973
"30780","Little Rock-North Little Rock-Conway, AR (MSA)",40964
"30860","Logan, UT-ID (MSA)",25503
"30980","Longview, TX (MSA)",43183
"31020","Longview, WA (MSA)",25742
"31100","Los Angeles-Long Beach-Santa Ana, CA (MSA)",51222
"31140","Louisville-Jefferson County, KY-IN (MSA)",39876
"31180","Lubbock, TX (MSA)",31685
"31340","Lynchburg, VA (MSA)",29271
"31420","Macon, GA (MSA)",29211
"31460","Madera-Chowchilla, CA (MSA)",21258
"31540","Madison, WI (MSA)",55794
"31700","Manchester-Nashua, NH (MSA)",51399
"31740","Manhattan, KS (MSA)",42220
"31860","Mankato-North Mankato, MN (MSA)",36059
"31900","Mansfield, OH (MSA)",25911
"32580","McAllen-Edinburg-Mission, TX (MSA)",16611
"32780","Medford, OR (MSA)",26579
"32820","Memphis, TN-MS-AR (MSA)",42127
"32900","Merced, CA (MSA)",19747
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (MSA)",40804
"33140","Michigan City-La Porte, IN (MSA)",28054
"33260","Midland, TX (MSA)",95531
"33340","Milwaukee-Waukesha-West Allis, WI (MSA)",49470
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",54862
"33540","Missoula, MT (MSA)",34945
"33660","Mobile, AL (MSA)",34914
"33700","Modesto, CA (MSA)",25419
"33740","Monroe, LA (MSA)",31840
"33780","Monroe, MI (MSA)",21159
"33860","Montgomery, AL (MSA)",33976
"34060","Morgantown, WV (MSA)",40005
"34100","Morristown, TN (MSA)",22473
"34580","Mount Vernon-Anacortes, WA (MSA)",42627
"34620","Muncie, IN (MSA)",25639
"34740","Muskegon-Norton Shores, MI (MSA)",24484
"34820","Myrtle Beach-North Myrtle Beach-Conway, SC (MSA)",30943
"34900","Napa, CA (MSA)",42492
"34940","Naples-Marco Island, FL (MSA)",35617
"34980","Nashville-Davidson-Murfreesboro-Franklin, TN (MSA)",46977
"35300","New Haven-Milford, CT (MSA)",39936
"35380","New Orleans-Metairie-Kenner, LA (MSA)",56056
"35620","New York-Northern New Jersey-Long Island, NY-NJ-PA (MSA)",59080
"35660","Niles-Benton Harbor, MI (MSA)",30185
"35840","North Port-Bradenton-Sarasota, FL (MSA)",29683
"35980","Norwich-New London, CT (MSA)",41356
"36100","Ocala, FL (MSA)",18877
"36140","Ocean City, NJ (MSA)",36295
"36220","Odessa, TX (MSA)",43381
"36260","Ogden-Clearfield, UT (MSA)",29898
"36420","Oklahoma City, OK (MSA)",41868
"36500","Olympia, WA (MSA)",30041
"36540","Omaha-Council Bluffs, NE-IA (MSA)",48273
"36740","Orlando-Kissimmee-Sanford, FL (MSA)",41425
"36780","Oshkosh-Neenah, WI (MSA)",42045
"36980","Owensboro, KY (MSA)",33331
"37100","Oxnard-Thousand Oaks-Ventura, CA (MSA)",40496
"37340","Palm Bay-Melbourne-Titusville, FL (MSA)",31871
"37380","Palm Coast, FL (MSA)",11311
"37460","Panama City-Lynn Haven-Panama City Beach, FL (MSA)",33134
