FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State
12980,"Battle Creek, MI",4133,30504,135490,Battle Creek,MI,Battle Creek,MI
22380,"Flagstaff, AZ",4198,31210,134508,Flagstaff,AZ,Flagstaff,AZ
29100,"La Crosse, WI-MN",5028,37384,134496,La Crosse,WI-MN,La Crosse,WI
48140,"Wausau, WI",5069,37717,134396,Wausau,WI,Wausau,WI
30140,"Lebanon, PA",3423,25482,134330,Lebanon,PA,Lebanon,PA
34060,"Morgantown, WV",5291,40005,132258,Morgantown,WV,Morgantown,WV
26820,"Idaho Falls, ID",3576,27078,132063,Idaho Falls,ID,Idaho Falls,ID
11300,"Anderson, IN",2749,20947,131236,Anderson,IN,Anderson,IN
38340,"Pittsfield, MA",4597,35241,130445,Pittsfield,MA,Pittsfield,MA
31740,"Manhattan, KS",5499,42220,130246,Manhattan,KS,Manhattan,KS
49020,"Winchester, VA-WV",4545,34941,130076,Winchester,VA-WV,Winchester,VA
24020,"Glens Falls, NY",3528,27347,129009,Glens Falls,NY,Glens Falls,NY
39660,"Rapid City, SD",4460,34742,128375,Rapid City,SD,Rapid City,SD
22140,"Farmington, NM",4945,38570,128208,Farmington,NM,Farmington,NM
14540,"Bowling Green, KY",3902,30582,127591,Bowling Green,KY,Bowling Green,KY
41140,"St. Joseph, MO-KS",3981,31205,127576,St. Joseph,MO-KS,St. Joseph,MO
30860,"Logan, UT-ID",3253,25503,127554,Logan,UT-ID,Logan,UT
11020,"Altoona, PA",3682,28969,127101,Altoona,PA,Altoona,PA
25500,"Harrisonburg, VA",5513,43560,126561,Harrisonburg,VA,Harrisonburg,VA
30020,"Lawton, OK",4154,33019,125806,Lawton,OK,Lawton,OK
41540,"Salisbury, MD",3616,28806,125529,Salisbury,MD,Salisbury,MD
24140,"Goldsboro, NC",3555,28740,123695,Goldsboro,NC,Goldsboro,NC
31900,"Mansfield, OH",3200,25911,123500,Mansfield,OH,Mansfield,OH
44600,"Steubenville-Weirton, OH-WV",2814,22835,123232,Steubenville-Weirton,OH-WV,Steubenville,OH
27860,"Jonesboro, AR",3747,30503,122840,Jonesboro,AR,Jonesboro,AR
21060,"Elizabethtown, KY",4860,39915,121759,Elizabethtown,KY,Elizabethtown,KY
43300,"Sherman-Denison, TX",3324,27375,121425,Sherman-Denison,TX,Sherman,TX
34580,"Mount Vernon-Anacortes, WA",5035,42627,118118,Mount Vernon-Anacortes,WA,Mount Vernon,WA
11500,"Anniston-Oxford, AL",3196,27133,117790,Anniston-Oxford,AL,Anniston,AL
34620,"Muncie, IN",3017,25639,117672,Muncie,IN,Muncie,IN
17420,"Cleveland, TN",3064,26228,116822,Cleveland,TN,Cleveland,TN
48700,"Williamsport, PA",3611,30927,116759,Williamsport,PA,Williamsport,PA
47020,"Victoria, TX",5136,44185,116239,Victoria,TX,Victoria,TX
27180,"Jackson, TN",4188,36291,115401,Jackson,TN,Jackson,TN
36980,"Owensboro, KY",3844,33331,115328,Owensboro,KY,Owensboro,KY
43100,"Sheboygan, WI",4544,39461,115152,Sheboygan,WI,Sheboygan,WI
28100,"Kankakee-Bradley, IL",2759,24266,113698,Kankakee-Bradley,IL,Kankakee,IL
41660,"San Angelo, TX",3468,30567,113456,San Angelo,TX,San Angelo,TX
15260,"Brunswick, GA",2812,24898,112941,Brunswick,GA,Brunswick,GA
48300,"Wenatchee-East Wenatchee, WA",3107,27631,112446,Wenatchee-East Wenatchee,WA,Wenatchee,WA
29940,"Lawrence, KS",3083,27471,112227,Lawrence,KS,Lawrence,KS
33140,"Michigan City-La Porte, IN",3124,28054,111357,Michigan City-La Porte,IN,Michigan City,IN
13900,"Bismarck, ND",4634,41789,110890,Bismarck,ND,Bismarck,ND
19500,"Decatur, IL",4808,43419,110735,Decatur,IL,Decatur,IL
33540,"Missoula, MT",3849,34945,110145,Missoula,MT,Missoula,MT
44940,"Sumter, SC",2779,25861,107459,Sumter,SC,Sumter,SC
30340,"Lewiston-Auburn, ME",3305,30776,107389,Lewiston-Auburn,ME,Lewiston,ME
13020,"Bay City, MI",2533,23645,107126,Bay City,MI,Bay City,MI
30620,"Lima, OH",3992,37627,106094,Lima,OH,Lima,OH
19260,"Danville, VA",2577,24382,105693,Danville,VA,Danville,VA
23460,"Gadsden, AL",2279,21845,104326,Gadsden,AL,Gadsden,AL
19060,"Cumberland, MD-WV",2358,22916,102898,Cumberland,MD-WV,Cumberland,MD
31020,"Longview, WA",2638,25742,102478,Longview,WA,Longview,WA
22540,"Fond du Lac, WI",3262,31960,102065,Fond du Lac,WI,Fond du Lac,WI
27060,"Ithaca, NY",3284,32282,101729,Ithaca,NY,Ithaca,NY
21820,"Fairbanks, AK",4355,43904,99194,Fairbanks,AK,Fairbanks,AK
38220,"Pine Bluff, AR",2623,26514,98929,Pine Bluff,AR,Pine Bluff,AR
29020,"Kokomo, IN",3372,34205,98582,Kokomo,IN,Kokomo,IN
24220,"Grand Forks, ND-MN",3551,36215,98053,Grand Forks,ND-MN,Grand Forks,ND
37380,"Palm Coast, FL",1101,11311,97339,Palm Coast,FL,Palm Coast,FL
31860,"Mankato-North Mankato, MN",3505,36059,97202,Mankato-North Mankato,MN,Mankato,MN
26300,"Hot Springs, AR",2373,24435,97115,Hot Springs,AR,Hot Springs,AR
16020,"Cape Girardeau-Jackson, MO-IL",3052,31457,97021,Cape Girardeau-Jackson,MO-IL,Cape Girardeau,MO
36140,"Ocean City, NJ",3506,36295,96597,Ocean City,NJ,Ocean City,NJ
40660,"Rome, GA",2731,28446,96006,Rome,GA,Rome,GA
20220,"Dubuque, IA",4276,45175,94654,Dubuque,IA,Dubuque,IA
16940,"Cheyenne, WY",4354,46974,92690,Cheyenne,WY,Cheyenne,WY
38540,"Pocatello, ID",2449,26773,91473,Pocatello,ID,Pocatello,ID
11180,"Ames, IA",3613,40297,89659,Ames,IA,Ames,IA
21300,"Elmira, NY",2605,29324,88835,Elmira,NY,Elmira,NY
18700,"Corvallis, OR",5743,66835,85928,Corvallis,OR,Corvallis,OR
24500,"Great Falls, MT",2644,32314,81822,Great Falls,MT,Great Falls,MT
19180,"Danville, IL",2102,25790,81504,Danville,IL,Danville,IL
25980,"Hinesville-Fort Stewart, GA",3242,40225,80597,Hinesville-Fort Stewart,GA,Hinesville,GA
18020,"Columbus, IN",4134,53082,77880,Columbus,IN,Columbus,IN
41780,"Sandusky, OH",2672,34812,76755,Sandusky,OH,Sandusky,OH
16220,"Casper, WY",5995,78510,76360,Casper,WY,Casper,WY
30300,"Lewiston, ID-WA",1733,28187,61482,Lewiston,ID-WA,Lewiston,ID
16180,"Carson City, NV",2378,42897,55435,Carson City,NV,Carson City,NV
