FIPS,MSANameFull,GDP,GDPPerCapita,Population,MSACity,MSAState,City,State
46140,"Tulsa, OK",40666,42944,946954,Tulsa,OK,Tulsa,OK
23420,"Fresno, CA",26621,28232,942937,Fresno,CA,Fresno,CA
14860,"Bridgeport-Stamford-Norwalk, CT",74869,80861,925898,Bridgeport-Stamford-Norwalk,CT,Bridgeport,CT
10740,"Albuquerque, NM",34842,38772,898638,Albuquerque,NM,Albuquerque,NM
36540,"Omaha-Council Bluffs, NE-IA",42341,48273,877116,Omaha-Council Bluffs,NE-IA,Omaha,NE
10580,"Albany-Schenectady-Troy, NY",35299,40505,871473,Albany-Schenectady-Troy,NY,Albany,NY
35300,"New Haven-Milford, CT",34390,39936,861128,New Haven-Milford,CT,New Haven,CT
12540,"Bakersfield-Delano, CA",28265,33186,851715,Bakersfield-Delano,CA,Bakersfield,CA
19380,"Dayton, OH",29744,35184,845384,Dayton,OH,Dayton,OH
37100,"Oxnard-Thousand Oaks-Ventura, CA",33684,40496,831786,Oxnard-Thousand Oaks-Ventura,CA,Oxnard,CA
10900,"Allentown-Bethlehem-Easton, PA-NJ",26194,31753,824930,Allentown-Bethlehem-Easton,PA-NJ,Allentown,PA
21340,"El Paso, TX",24706,30100,820797,El Paso,TX,El Paso,TX
12940,"Baton Rouge, LA",37644,46575,808245,Baton Rouge,LA,Baton Rouge,LA
49340,"Worcester, MA",26834,33491,801230,Worcester,MA,Worcester,MA
32580,"McAllen-Edinburg-Mission, TX",13252,16611,797785,McAllen-Edinburg-Mission,TX,McAllen,TX
24340,"Grand Rapids-Wyoming, MI",29637,38016,779593,Grand Rapids-Wyoming,MI,Grand Rapids,MI
17900,"Columbia, SC",27765,35728,777122,Columbia,SC,Columbia,SC
24660,"Greensboro-High Point, NC",30725,42034,730956,Greensboro-High Point,NC,Greensboro,NC
30780,"Little Rock-North Little Rock-Conway, AR",29080,40964,709892,Little Rock-North Little Rock-Conway,AR,Little Rock,AR
35840,"North Port-Bradenton-Sarasota, FL",21056,29683,709362,North Port-Bradenton-Sarasota,FL,North Port,FL
28940,"Knoxville, TN",28994,41155,704507,Knoxville,TN,Knoxville,TN
10420,"Akron, OH",24259,34583,701472,Akron,OH,Akron,OH
44700,"Stockton, CA",16861,24218,696218,Stockton,CA,Stockton,CA
44140,"Springfield, MA",20135,29046,693211,Springfield,MA,Springfield,MA
16700,"Charleston-North Charleston-Summerville, SC",25051,36725,682124,Charleston-North Charleston-Summerville,SC,Charleston,SC
39100,"Poughkeepsie-Newburgh-Middletown, NY",20223,30054,672889,Poughkeepsie-Newburgh-Middletown,NY,Poughkeepsie,NY
45060,"Syracuse, NY",23762,35865,662540,Syracuse,NY,Syracuse,NY
17820,"Colorado Springs, CO",23907,36205,660323,Colorado Springs,CO,Colorado Springs,CO
45780,"Toledo, OH",23939,36814,650269,Toledo,OH,Toledo,OH
24860,"Greenville-Mauldin-Easley, SC",23667,36558,647382,Greenville-Mauldin-Easley,SC,Greenville,SC
15980,"Cape Coral-Fort Myers, FL",17747,28111,631319,Cape Coral-Fort Myers,FL,Cape Coral,FL
14260,"Boise City-Nampa, ID",25397,40463,627660,Boise City-Nampa,ID,Boise City,ID
48620,"Wichita, KS",23875,38167,625540,Wichita,KS,Wichita,KS
29460,"Lakeland-Winter Haven, FL",14396,23619,609509,Lakeland-Winter Haven,FL,Lakeland,FL
19780,"Des Moines-West Des Moines, IA",35883,61840,580255,Des Moines-West Des Moines,IA,Des Moines,IA
31540,"Madison, WI",32163,55794,576460,Madison,WI,Madison,WI
42540,"Scranton-Wilkes-Barre, PA",17200,30538,563233,Scranton-Wilkes-Barre,PA,Scranton,PA
49660,"Youngstown-Warren-Boardman, OH-PA",14714,26148,562720,Youngstown-Warren-Boardman,OH-PA,Youngstown,OH
12260,"Augusta-Richmond County, GA-SC",16980,30221,561861,Augusta-Richmond County,GA-SC,Augusta,GA
36260,"Ogden-Clearfield, UT",16621,29898,555923,Ogden-Clearfield,UT,Ogden,UT
25420,"Harrisburg-Carlisle, PA",24784,44824,552918,Harrisburg-Carlisle,PA,Harrisburg,PA
27140,"Jackson, MS",21602,39609,545381,Jackson,MS,Jackson,MS
37340,"Palm Bay-Melbourne-Titusville, FL",17324,31871,543566,Palm Bay-Melbourne-Titusville,FL,Palm Bay,FL
39340,"Provo-Orem, UT",14247,26343,540827,Provo-Orem,UT,Provo,UT
16860,"Chattanooga, TN-GA",18990,35603,533382,Chattanooga,TN-GA,Chattanooga,TN
29540,"Lancaster, PA",17399,33229,523609,Lancaster,PA,Lancaster,PA
33700,"Modesto, CA",13181,25419,518549,Modesto,CA,Modesto,CA
38860,"Portland-South Portland-Biddeford, ME",22713,44033,515818,Portland-South Portland-Biddeford,ME,Portland,ME
20500,"Durham-Chapel Hill, NC",37407,72921,512980,Durham-Chapel Hill,NC,Durham,NC
19660,"Deltona-Daytona Beach-Ormond Beach, FL",10335,20887,494805,Deltona-Daytona Beach-Ormond Beach,FL,Deltona,FL
42220,"Santa Rosa-Petaluma, CA",18070,37019,488128,Santa Rosa-Petaluma,CA,Santa Rosa,CA
49180,"Winston-Salem, NC",20214,41936,482020,Winston-Salem,NC,Winston,NC
30460,"Lexington-Fayette, KY",20207,42165,479236,Lexington-Fayette,KY,Lexington,KY
22220,"Fayetteville-Springdale-Rogers, AR-MO",17202,36305,473819,Fayetteville-Springdale-Rogers,AR-MO,Fayetteville,AR
44060,"Spokane, WA",16291,34387,473755,Spokane,WA,Spokane,WA
29620,"Lansing-East Lansing, MI",16825,36171,465152,Lansing-East Lansing,MI,Lansing,MI
37860,"Pensacola-Ferry Pass-Brent, FL",12425,27416,453203,Pensacola-Ferry Pass-Brent,FL,Pensacola,FL
47300,"Visalia-Porterville, CA",9880,21992,449254,Visalia-Porterville,CA,Visalia,CA
44180,"Springfield, MO",13383,30406,440143,Springfield,MO,Springfield,MO
49620,"York-Hanover, PA",13297,30445,436755,York-Hanover,PA,York,PA
18580,"Corpus Christi, TX",16904,39186,431379,Corpus Christi,TX,Corpus Christi,TX
39900,"Reno-Sparks, NV",17942,41764,429604,Reno-Sparks,NV,Reno,NV
11700,"Asheville, NC",12535,29218,429016,Asheville,NC,Asheville,NC
38940,"Port St. Lucie, FL",9617,22476,427879,Port St. Lucie,FL,Port St. Lucie,FL
42060,"Santa Barbara-Santa Maria-Goleta, CA",17865,41851,426872,Santa Barbara-Santa Maria-Goleta,CA,Santa Barbara,CA
26620,"Huntsville, AL",19206,45140,425476,Huntsville,AL,Huntsville,AL
22420,"Flint, MI",10173,24101,422099,Flint,MI,Flint,MI
41500,"Salinas, CA",14568,34530,421894,Salinas,CA,Salinas,CA
23060,"Fort Wayne, IN",16417,39139,419454,Fort Wayne,IN,Fort Wayne,IN
46700,"Vallejo-Fairfield, CA",12136,29139,416486,Vallejo-Fairfield,CA,Vallejo,CA
15180,"Brownsville-Harlingen, TX",7031,16978,414124,Brownsville-Harlingen,TX,Brownsville,TX
39740,"Reading, PA",12660,30669,412795,Reading,PA,Reading,PA
33660,"Mobile, AL",14405,34914,412585,Mobile,AL,Mobile,AL
28660,"Killeen-Temple-Fort Hood, TX",13723,33342,411583,Killeen-Temple-Fort Hood,TX,Killeen,TX
15940,"Canton-Massillon, OH",11322,28033,403881,Canton-Massillon,OH,Canton,OH
43340,"Shreveport-Bossier City, LA",19426,48132,403598,Shreveport-Bossier City,LA,Shreveport,LA
31700,"Manchester-Nashua, NH",20647,51399,401700,Manchester-Nashua,NH,Manchester,NH
41420,"Salem, OR",10852,27483,394862,Salem,OR,Salem,OR
13140,"Beaumont-Port Arthur, TX",17829,45654,390524,Beaumont-Port Arthur,TX,Beaumont,TX
11260,"Anchorage, AK",24375,62901,387514,Anchorage,AK,Anchorage,AK
19340,"Davenport-Moline-Rock Island, IA-IL",15755,41316,381329,Davenport-Moline-Rock Island,IA-IL,Davenport,IA
37900,"Peoria, IL",17447,45966,379563,Peoria,IL,Peoria,IL
33860,"Montgomery, AL",12864,33976,378620,Montgomery,AL,Montgomery,AL
22180,"Fayetteville, NC",15462,41325,374156,Fayetteville,NC,Fayetteville,NC
45220,"Tallahassee, FL",11619,31424,369749,Tallahassee,FL,Tallahassee,FL
48900,"Wilmington, NC",12534,33905,369680,Wilmington,NC,Wilmington,NC
45940,"Trenton-Ewing, NJ",23400,63750,367059,Trenton-Ewing,NJ,Trenton,NJ
25860,"Hickory-Lenoir-Morganton, NC",10416,28571,364565,Hickory-Lenoir-Morganton,NC,Hickory,NC
21780,"Evansville, IN-KY",14302,39740,359889,Evansville,IN-KY,Evansville,IN
42340,"Savannah, GA",11560,32512,355561,Savannah,GA,Savannah,GA
21660,"Eugene-Springfield, OR",10787,30523,353406,Eugene-Springfield,OR,Eugene,OR
40420,"Rockford, IL",11340,32553,348355,Rockford,IL,Rockford,IL
11460,"Ann Arbor, MI",16434,47228,347972,Ann Arbor,MI,Ann Arbor,MI
36100,"Ocala, FL",6277,18877,332521,Ocala,FL,Ocala,FL
28020,"Kalamazoo-Portage, MI",10677,32531,328210,Kalamazoo-Portage,MI,Kalamazoo,MI
34940,"Naples-Marco Island, FL",11687,35617,328130,Naples-Marco Island,FL,Naples,FL
43780,"South Bend-Mishawaka, IN-MI",11072,34741,318701,South Bend-Mishawaka,IN-MI,South Bend,IN
28700,"Kingsport-Bristol-Bristol, TN-VA",8764,28289,309802,Kingsport-Bristol-Bristol,TN-VA,Kingsport,TN
24580,"Green Bay, WI",13155,42508,309471,Green Bay,WI,Green Bay,WI
40220,"Roanoke, VA",11548,37391,308844,Roanoke,VA,Roanoke,VA
30700,"Lincoln, NE",12865,41973,306507,Lincoln,NE,Lincoln,NE
22660,"Fort Collins-Loveland, CO",10847,35501,305541,Fort Collins-Loveland,CO,Fort Collins,CO
16620,"Charleston, WV",13060,43008,303664,Charleston,WV,Charleston,WV
17980,"Columbus, GA-AL",10895,36143,301441,Columbus,GA-AL,Columbus,GA
22900,"Fort Smith, AR-OK",8485,28276,300078,Fort Smith,AR-OK,Fort Smith,AR
14500,"Boulder, CO",17866,59676,299383,Boulder,CO,Boulder,CO
46540,"Utica-Rome, NY",8017,26861,298462,Utica-Rome,NY,Utica,NY
31180,"Lubbock, TX",9189,31685,290011,Lubbock,TX,Lubbock,TX
26580,"Huntington-Ashland, WV-KY-OH",8863,30819,287582,Huntington-Ashland,WV-KY-OH,Huntington,WV
43900,"Spartanburg, SC",9177,31991,286862,Spartanburg,SC,Spartanburg,SC
21500,"Erie, PA",8267,29420,280999,Erie,PA,Erie,PA
20260,"Duluth, MN-WI",8483,30316,279819,Duluth,MN-WI,Duluth,MN
17300,"Clarksville, TN-KY",9648,34744,277688,Clarksville,TN-KY,Clarksville,TN
29180,"Lafayette, LA",18248,65805,277304,Lafayette,LA,Lafayette,LA
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC",8551,30943,276347,Myrtle Beach-North Myrtle Beach-Conway,SC,Myrtle Beach,SC
12100,"Atlantic City-Hammonton, NJ",11298,41182,274343,Atlantic City-Hammonton,NJ,Atlantic City,NJ
35980,"Norwich-New London, CT",11311,41356,273503,Norwich-New London,CT,Norwich,CT
