"FIPS","MSANameFull","Population","City","State","geoLat","geoLng","Highway","x","y","nearFIPS0","nearDist0","nearFIPS1","nearDist1","nearFIPS2","nearDist2","nearFIPS3","nearDist3","nearFIPS4","nearDist4","nearDrive0","nearDrive1","nearDrive2","nearDrive3","nearDrive4"
"32900","Merced, CA","259888","Merced","CA","37.3021632","-120.4829677","9026,99","0.06","0.33","41860","215887","31100","488119","40140","580275","41740","682748","38060","1099437","7576","14758","17591","21290","33285"
"18","Junction","0","Junction","CA","37.245635","-121.088777","5,9026","0.05","0.33","41860","217099","31100","570538","40140","662694","41740","765167","38060","1181856","11791","28062","30895","34595","46589"
"17020","Chico, CA","220273","Chico","CA","39.7284944","-121.8374777","9028","0.06","0.26","41860","348655","31100","891719","40140","983875","41740","1086348","42660","1144073","10150","25032","27865","31564","36864"
"19","Junction","0","Junction","CA","39.75049","-122.205445","5,9028","0.05","0.26","41860","308134","31100","851198","40140","943354","41740","1045827","42660","1103552","11791","28062","30895","34595","33209"
"31460","Madera-Chowchilla, CA","152931","Madera","CA","36.9613356","-120.0607176","99,9018","0.06","0.34","41860","269789","31100","434217","40140","526373","41740","628846","38060","1045535","9266","12936","15769","19469","31463"
"20","Junction","0","Junction","CA","35.017626","-118.956056","5,99","0.05","0.4","31100","146761","40140","238917","41740","341390","41860","557245","38060","758079","28062","30895","34595","11791","46589"
"21","Junction","0","Junction","UT","38.578232","-112.601838","15,70","0.19","0.34","40140","765994","19740","815949","31100","833614","41740","1028243","38060","1285156","25118","26895","27007","30123","25899"
"22","Junction","0","Junction","CA","34.885931","-117.021303","15,40","0.07","0.41","40140","115920","31100","183540","41740","378169","38060","635082","41860","887546","30895","28062","34595","46589","11791"
"35300","New Haven-Milford, CT","861128","New Haven","CT","41.308274","-72.9278835","95,91","0.892","0.256","35620","135350","14460","249272","37980","295248","47900","523113","99995","917446","5600","7809","10884","18251","28984"
"22180","Fayetteville, NC","374156","Fayetteville","NC","35.0526641","-78.8783585","95,87","0.79","0.42","47900","528380","12060","630291","37980","756245","35620","916143","33100","1265567","17062","19192","25045","29701","37232"
"35620","New York-Northern New Jersey-Long Island, NY-NJ-PA","19015911","New York","NY","40.7143528","-74.0059731","95,78,1087","0.868","0.28","37980","159898","14460","384622","47900","387763","99995","929150","19820","1152722","6180","12792","13548","27544","33373"
"33100","Miami-Fort Lauderdale-Pompano Beach, FL","5670057","Miami","FL","25.7889689","-80.2264393","95,75","0.78","0.66","45300","466600","36740","521352","27260","597577","12060","1185340","16740","1407207","14306","11978","17827","33304","37017"
"40060","Richmond, VA","1269367","Richmond","VA","37.5407246","-77.4360481","95,64","0.83","0.35","47900","174484","37980","402349","35620","562247","12060","984187","99995","1208410","6453","14436","19092","28102","35581"
"19660","Deltona-Daytona Beach-Ormond Beach, FL","494805","Daytona Beach","FL","29.2","-81.0333","95,4","0.78","0.59","45300","231723","33100","433564","12060","751776","47900","1360383","12580","1424586","7846","13767","22376","40917","43358"
"40580","Rocky Mount, NC","152155","Rocky Mount","NC","35.9382103","-77.7905339","95,1064","0.81","0.39","47900","377398","37980","605263","35620","765161","99995","1411324","33100","1416549","12902","20885","25540","42030","42117"
"19820","Detroit-Warren-Livonia, MI","4285812","Detroit","MI","42.331427","-83.0457538","94,75,1096","0.67","0.26","16980","490935","99995","788282","37980","1052608","47900","1070971","35620","1152722","14922","13543","31549","28834","33499"
"16980","Chicago-Joliet-Naperville, IL-IN-WI","9504837","Chicago","IL","41.8781136","-87.6297982","94,55,80,1065,1090","0.6","0.28","19820","490935","99995","1108653","12060","1251267","37980","1372979","47900","1391342","14915","27807","37871","40625","37910"
"33340","Milwaukee-Waukesha-West Allis, WI","1562220","Milwaukee","WI","43.0389025","-87.9064736","94,41","0.6","0.25","16980","172197","33460","614714","19820","663132","99995","1280850","12060","1423464","5620","18295","20186","33216","43076"
"31540","Madison, WI","576460","Madison","WI","43.0730517","-89.4012302","94,39","0.58","0.25","16980","264642","33460","487489","19820","755577","41180","964112","99995","1373295","9167","15332","23733","19459","36625"
"22020","Fargo, ND-MN","212170","Fargo","ND","46.8771863","-96.7898034","94,29","0.46","0.17","33460","382668","28140","1006270","16980","1134799","41180","1408088","26900","1438363","12429","30678","34739","42591","44288"
"40340","Rochester, MN","187623","Rochester","MN","44.0234","-92.46295","90,94","0.51","0.23","33460","136012","16980","616119","19820","1107054","17140","1194517","41180","1315589","5239","19581","34147","35057","26558"
"13740","Billings, MT","160104","Billings","MT","45.7832856","-108.5006904","90,94","0.26","0.17","99993","1039232","41620","1179130","99992","1335676","42660","1352009","33460","1364540","30917","30539","40374","42314","41659"
"48900","Wilmington, NC","369680","Wilmington","NC","34.2257255","-77.9447102","87,1017","0.81","0.42","47900","671686","12060","773597","37980","899551","35620","1059449","33100","1408873","19884","21585","27867","32523","39625"
"49620","York-Hanover, PA","436755","York","PA","39.9625984","-76.727745","83,30","0.8","0.3","47900","147971","37980","173030","35620","307216","99995","885955","16980","1243371","6112","6263","10829","25554","36175"
"28700","Kingsport-Bristol-Bristol, TN-VA","309802","Kingsport","TN","36.548434","-82.5618186","81,23","0.716","0.376","12060","561573","47900","791368","37980","1019233","16980","1165110","35620","1179131","16628","21585","29327","32637","33425"
"41620","Salt Lake City, UT","1145904","Salt Lake City","UT","40.7607793","-111.8910474","80,15","0.19","0.28","19740","913708","40140","1055697","31100","1123317","41860","1196712","41740","1317946","27538","32805","34693","38086","37810"
"19340","Davenport-Moline-Rock Island, IA-IL","381329","Davenport","IA","41.5236437","-90.5776367","80,55","0.57","0.28","16980","281956","41180","492236","19820","772891","33460","1034087","99995","1390609","9958","14669","23244","19370","36135"
"16940","Cheyenne, WY","92690","Cheyenne","WY","41.1399814","-104.8202462","80,25","0.28","0.28","19740","205191","41620","708517","10740","940684","28140","1111132","29820","1403574","5777","22741","27711","32886","42898"
"46700","Vallejo-Fairfield, CA","416486","Vallejo","CA","38.1040864","-122.2566367","80,1029","0.03","0.28","31100","755377","40140","847533","41740","950006","42660","1360315","38060","1366695","19924","22757","26457","42107","38451"
"16740","Charlotte-Gastonia-Rock Hill, NC-SC","1795479","Charlotte","NC","35.2270869","-80.8431267","77,85","0.74","0.42","47900","870813","37980","1098678","35620","1258576","16980","1390520","33100","1407207","21569","29552","34208","41429","37025"
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5992441","Philadelphia","PA","39.952335","-75.163789","76,95","0.844","0.308","35620","159898","47900","227865","99995","1015563","16980","1372979","12060","1386536","6024","8694","27720","40757","42090"
"25420","Harrisburg-Carlisle, PA","552918","Harrisburg","PA","40.2737002","-76.8844179","76,83,1081,78","0.8","0.28","37980","171171","47900","189534","35620","271285","99995","844392","16980","1201808","6399","7729","9794","23765","35326"
"10420","Akron, OH","701472","Akron","OH","41.0814447","-81.5190053","76,1077","0.71","0.28","99995","551018","16980","683795","37980","689184","47900","707547","35620","789298","18074","19629","22602","19887","24337"
"30460","Lexington-Fayette, KY","479236","Lexington","KY","38.0405837","-84.5037164","75,64","0.67","0.36","16980","713883","47900","976473","37980","1136041","99995","1157773","35620","1236155","20563","29152","34692","32081","38189"
"28940","Knoxville, TN","704507","Knoxville","TN","35.9606384","-83.9207392","75,40,81","0.67","0.41","47900","968384","16980","988094","37980","1196249","35620","1356147","99995","1431984","25765","28520","33508","37605","40038"
