"c1fips","c1geoLat","c1geoLng","c2fips","c2geoLat","c2geoLng","Highway","drivetime","dist"
"12540","35.3732921","-119.0187125","47300","36.3302284","-119.2920585","99","4528","126517"
"47300","36.3302284","-119.2920585","23420","36.7468422","-119.7725868","99","2572","70175"
"23420","36.7468422","-119.7725868","31460","36.9613356","-120.0607176","99","1484","40098"
"31460","36.9613356","-120.0607176","32900","37.3021632","-120.4829677","99","2055","53902"
"32900","37.3021632","-120.4829677","33700","37.6390972","-120.9968782","99","2401","63738"
"33700","37.6390972","-120.9968782","17","37.78781","-121.302506","99","1572","38598"
"33100","25.7889689","-80.2264393","38940","27.2758333","-80.355","95","6109","180040"
"38940","27.2758333","-80.355","42680","27.816415","-80.4706078","95","3027","74048"
"42680","27.816415","-80.4706078","37340","28.0344621","-80.5886646","95","1347","28016"
"37340","28.0344621","-80.5886646","19660","29.2","-81.0333","95","5198","151460"
"19660","29.2","-81.0333","37380","29.5849736","-81.2078411","95","2369","56110"
"37380","29.5849736","-81.2078411","27260","30.3321838","-81.655651","95","3763","107903"
"27260","30.3321838","-81.655651","15260","31.1499528","-81.4914894","95","3995","111675"
"15260","31.1499528","-81.4914894","42340","32.0835407","-81.0998342","95","4401","125885"
"42340","32.0835407","-81.0998342","2","33.316758","-80.547123","95","5197","156955"
"2","33.316758","-80.547123","22500","34.1954331","-79.7625625","95","4371","132364"
"22500","34.1954331","-79.7625625","22180","35.0526641","-78.8783585","95","4926","141111"
"22180","35.0526641","-78.8783585","40580","35.9382103","-77.7905339","95","5439","150982"
"40580","35.9382103","-77.7905339","40060","37.5407246","-77.4360481","95","6798","202914"
"40060","37.5407246","-77.4360481","47900","38.9072309","-77.0364641","95","6464","174484"
"47900","38.9072309","-77.0364641","12580","39.2903848","-76.6121893","95","3279","64203"
"12580","39.2903848","-76.6121893","37980","39.952335","-75.163789","95","6379","163662"
"37980","39.952335","-75.163789","45940","40.2170534","-74.7429384","95","2192","53546"
"45940","40.2170534","-74.7429384","35620","40.7143528","-74.0059731","95","4341","106352"
"35620","40.7143528","-74.0059731","14860","41.1865478","-73.1951767","95","4487","101225"
"14860","41.1865478","-73.1951767","35300","41.308274","-72.9278835","95","1645","34125"
"35300","41.308274","-72.9278835","3","41.375778","-72.19275","95","2545","68205"
"3","41.375778","-72.19275","39300","41.8239891","-71.4128343","95","3702","99787"
"39300","41.8239891","-71.4128343","14460","42.3584308","-71.0597732","95","3343","81280"
"14460","42.3584308","-71.0597732","38860","43.661471","-70.2553259","95","6390","173455"
"38860","43.661471","-70.2553259","30340","44.100351","-70.2147764","95","2895","58136"
"30340","44.100351","-70.2147764","12620","44.8011821","-68.7778138","95","5991","172661"
