"Real GDP by Metropolitan Area (millions of chained 2005 dollars)"
"" 
"Bureau of Economic Analysis" 
"All industry total"
"22220","Fayetteville-Springdale-Rogers, AR-MO (MSA)",17202
"22380","Flagstaff, AZ (MSA)",4198
"22420","Flint, MI (MSA)",10173
"22500","Florence, SC (MSA)",6086
"22520","Florence-Muscle Shoals, AL (MSA)",3538
"22540","Fond du Lac, WI (MSA)",3262
"22660","Fort Collins-Loveland, CO (MSA)",10847
"22900","Fort Smith, AR-OK (MSA)",8485
"23060","Fort Wayne, IN (MSA)",16417
"23420","Fresno, CA (MSA)",26621
"23460","Gadsden, AL (MSA)",2279
"23540","Gainesville, FL (MSA)",9012
"23580","Gainesville, GA (MSA)",5783
"24020","Glens Falls, NY (MSA)",3528
"24140","Goldsboro, NC (MSA)",3555
"24220","Grand Forks, ND-MN (MSA)",3551
"24300","Grand Junction, CO (MSA)",4396
"24340","Grand Rapids-Wyoming, MI (MSA)",29637
"24500","Great Falls, MT (MSA)",2644
"24540","Greeley, CO (MSA)",6495
"24580","Green Bay, WI (MSA)",13155
"24660","Greensboro-High Point, NC (MSA)",30725
"24780","Greenville, NC (MSA)",5721
"24860","Greenville-Mauldin-Easley, SC (MSA)",23667
"25060","Gulfport-Biloxi, MS (MSA)",9065
"25180","Hagerstown-Martinsburg, MD-WV (MSA)",7180
"25260","Hanford-Corcoran, CA (MSA)",3602
"25420","Harrisburg-Carlisle, PA (MSA)",24784
"25500","Harrisonburg, VA (MSA)",5513
"25540","Hartford-West Hartford-East Hartford, CT (MSA)",73258
"25620","Hattiesburg, MS (MSA)",4331
"25860","Hickory-Lenoir-Morganton, NC (MSA)",10416
"25980","Hinesville-Fort Stewart, GA (MSA)",3242
"26100","Holland-Grand Haven, MI (MSA)",7856
"26180","Honolulu, HI (MSA)",44983
"26300","Hot Springs, AR (MSA)",2373
"26380","Houma-Bayou Cane-Thibodaux, LA (MSA)",9860
"26420","Houston-Sugar Land-Baytown, TX (MSA)",365560
"26580","Huntington-Ashland, WV-KY-OH (MSA)",8863
"26620","Huntsville, AL (MSA)",19206
"26820","Idaho Falls, ID (MSA)",3576
"26900","Indianapolis-Carmel, IN (MSA)",89832
"26980","Iowa City, IA (MSA)",6831
"27060","Ithaca, NY (MSA)",3284
"27100","Jackson, MI (MSA)",4225
"27140","Jackson, MS (MSA)",21602
"27180","Jackson, TN (MSA)",4188
"27260","Jacksonville, FL (MSA)",52966
"27340","Jacksonville, NC (MSA)",7328
"27500","Janesville, WI (MSA)",4347
"27620","Jefferson City, MO (MSA)",5035
"27740","Johnson City, TN (MSA)",5709
"27780","Johnstown, PA (MSA)",3471
"27860","Jonesboro, AR (MSA)",3747
"27900","Joplin, MO (MSA)",5153
"28020","Kalamazoo-Portage, MI (MSA)",10677
"28100","Kankakee-Bradley, IL (MSA)",2759
"28140","Kansas City, MO-KS (MSA)",95470
"28420","Kennewick-Pasco-Richland, WA (MSA)",9375
"28660","Killeen-Temple-Fort Hood, TX (MSA)",13723
"28700","Kingsport-Bristol-Bristol, TN-VA (MSA)",8764
"28740","Kingston, NY (MSA)",4096
"28940","Knoxville, TN (MSA)",28994
"29020","Kokomo, IN (MSA)",3372
"29100","La Crosse, WI-MN (MSA)",5028
"29140","Lafayette, IN (MSA)",7242
"29180","Lafayette, LA (MSA)",18248
"29340","Lake Charles, LA (MSA)",12204
"29420","Lake Havasu City-Kingman, AZ (MSA)",3180
"29460","Lakeland-Winter Haven, FL (MSA)",14396
"29540","Lancaster, PA (MSA)",17399
"29620","Lansing-East Lansing, MI (MSA)",16825
"29700","Laredo, TX (MSA)",5694
"29740","Las Cruces, NM (MSA)",5018
"29820","Las Vegas-Paradise, NV (MSA)",81001
"29940","Lawrence, KS (MSA)",3083
"30020","Lawton, OK (MSA)",4154
"30140","Lebanon, PA (MSA)",3423
"30300","Lewiston, ID-WA (MSA)",1733
"30340","Lewiston-Auburn, ME (MSA)",3305
"30460","Lexington-Fayette, KY (MSA)",20207
"30620","Lima, OH (MSA)",3992
"30700","Lincoln, NE (MSA)",12865
"30780","Little Rock-North Little Rock-Conway, AR (MSA)",29080
"30860","Logan, UT-ID (MSA)",3253
"30980","Longview, TX (MSA)",9356
"31020","Longview, WA (MSA)",2638
"31100","Los Angeles-Long Beach-Santa Ana, CA (MSA)",663054
"31140","Louisville-Jefferson County, KY-IN (MSA)",51634
"31180","Lubbock, TX (MSA)",9189
"31340","Lynchburg, VA (MSA)",7440
"31420","Macon, GA (MSA)",6804
"31460","Madera-Chowchilla, CA (MSA)",3251
"31540","Madison, WI (MSA)",32163
"31700","Manchester-Nashua, NH (MSA)",20647
"31740","Manhattan, KS (MSA)",5499
"31860","Mankato-North Mankato, MN (MSA)",3505
"31900","Mansfield, OH (MSA)",3200
"32580","McAllen-Edinburg-Mission, TX (MSA)",13252
"32780","Medford, OR (MSA)",5444
"32820","Memphis, TN-MS-AR (MSA)",55844
"32900","Merced, CA (MSA)",5132
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (MSA)",231361
"33140","Michigan City-La Porte, IN (MSA)",3124
"33260","Midland, TX (MSA)",13404
"33340","Milwaukee-Waukesha-West Allis, WI (MSA)",77283
"33460","Minneapolis-St. Paul-Bloomington, MN-WI (MSA)",182059
"33540","Missoula, MT (MSA)",3849
"33660","Mobile, AL (MSA)",14405
"33700","Modesto, CA (MSA)",13181
"33740","Monroe, LA (MSA)",5656
"33780","Monroe, MI (MSA)",3207
